,Weight,Element,Molecule,BasisSet,Spin,BuiltMolecule,bond_lenght,CCSDT,DFT-b3lyp,DFT-SCAN,DFT-wB97X-V,DFT-pbe,DFT-M06-2X,DFT-PW6B95,NN-Functional.DM21,NN-Functional.DM21m,NN-Functional.DM21mc,NN-Functional.DM21mu
0,1,H,"[['H', (0, 0, 0.125)], ['H', (0, 0, -0.125)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",0.25,-0.3549346291486089,-0.360328183117125,-0.3625280647144238,-0.3687926466612823,-0.349040460194324,-0.35774153166428,-0.36589033665669746,-0.3677036404846885,-0.3657278220212099,-0.36028249292967374,-0.36507248578586404
1,1,H,"[['H', (0, 0, 0.15000000000000002)], ['H', (0, 0, -0.15000000000000002)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",0.30000000000000004,-0.6387775257696388,-0.6435765548204688,-0.6454336700672261,-0.6522011562885923,-0.6327091270163814,-0.6416501205968113,-0.6487206741296616,-0.6505188089186087,-0.6488939976335677,-0.6439918578485713,-0.6485120358003902
2,1,H,"[['H', (0, 0, 0.17500000000000002)], ['H', (0, 0, -0.17500000000000002)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",0.35000000000000003,-0.8218188185874652,-0.8261003790909696,-0.8276111768013483,-0.8348789906529133,-0.815680291078996,-0.8244423226400857,-0.830830065070292,-0.8324920199807408,-0.8313730794549965,-0.8268476004138083,-0.8311807272666445
3,1,H,"[['H', (0, 0, 0.2)], ['H', (0, 0, -0.2)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",0.4,-0.9431336018758693,-0.9469844887993268,-0.9481606177911215,-0.9559074796337974,-0.937032916770665,-0.9453238028033901,-0.9513057648322452,-0.9526865682234176,-0.9521193719774792,-0.9480679829947807,-0.9519753165834715
4,1,H,"[['H', (0, 0, 0.225)], ['H', (0, 0, -0.225)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",0.45,-1.0246030341522916,-1.0281158889835198,-1.0289757567199849,-1.0371689969773548,-1.0186481803206338,-1.026353321607345,-1.0320373902779298,-1.0331437451900753,-1.0328521342763182,-1.0297604680545693,-1.032752875054777
5,1,H,"[['H', (0, 0, 0.25)], ['H', (0, 0, -0.25)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",0.5,-1.0793700258948085,-1.08263980342807,-1.0832020417119022,-1.091802010340426,-1.073664607103323,-1.0807350063684733,-1.0861733574479053,-1.08704137432084,-1.0866830780720054,-1.0850926041040683,-1.086710274868089
6,1,H,"[['H', (0, 0, 0.275)], ['H', (0, 0, -0.275)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",0.55,-1.1157401103638958,-1.1188581680036989,-1.1191393026613792,-1.128101341992469,-1.1103774496587264,-1.1167627532666051,-1.1220186421296807,-1.1227091529288442,-1.1219507612029567,-1.1220876266630588,-1.1222212271435552
7,1,H,"[['H', (0, 0, 0.30000000000000004)], ['H', (0, 0, -0.30000000000000004)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",0.6000000000000001,-1.1391732775923302,-1.142220495763247,-1.1422355667840183,-1.1515108251631223,-1.1342306438383338,-1.1398777928934627,-1.1450250305550824,-1.1456161322983682,-1.1442823868745946,-1.1460195044263055,-1.1448097451701202
8,1,H,"[['H', (0, 0, 0.325)], ['H', (0, 0, -0.325)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",0.65,-1.1533713180841356,-1.1564127452034434,-1.1561767102468705,-1.1657128170578328,-1.148906207415562,-1.1537718301836573,-1.1588797548917629,-1.1594479529685793,-1.1574275869139234,-1.1602185459579022,-1.1582119172577776
9,1,H,"[['H', (0, 0, 0.35)], ['H', (0, 0, -0.35)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",0.7,-1.1609046475500966,-1.1639866710371085,-1.1635153389781325,-1.1732572799225274,-1.1569535588958302,-1.1609996348033484,-1.166134970370503,-1.1667183573576558,-1.1638961042824487,-1.16747111642088,-1.1650935738742305
